"","CODIGO_ENTIDAD","NOMBRE","TIPO_GESTION","ESTADO_LICENCIAMIENTO","PERIODO_LICENCIAMIENTO","DEPARTAMENTO_LOCAL","PROVINCIA_LOCAL","DISTRITO_LOCAL","LATITUD_UBICACION","LONGITUD_UBICACION"
"98","042","UNIVERSIDAD NACIONAL DEL SANTA","PÚBLICO","LICENCIA OTORGADA",6,"ÁNCASH","SANTA","NUEVO CHIMBOTE",-9.12089598825579,-78.5133408957008
"99","120","UNIVERSIDAD NACIONAL AUTÓNOMA DE CHOTA","PÚBLICO","LICENCIA OTORGADA",6,"CAJAMARCA","CHOTA","CHOTA",-6.56174821710936,-78.649885835582
"100","149","FACULTAD DE TEOLOGÍA PONTIFICIA Y CIVIL DE LIMA","PRIVADO","LICENCIA OTORGADA",6,"LIMA","LIMA","PUEBLO LIBRE",-12.0836439,-77.0692178
"101","082","UNIVERSIDAD PARA EL DESARROLLO ANDINO","PRIVADO","LICENCIA OTORGADA",6,"HUANCAVELICA","ANGARAES","LIRCAY",-12.9875794412456,-74.7213088430611
"102","139","UNIVERSIDAD NACIONAL CIRO ALEGRÍA","PÚBLICO","CON INFORME DE REVISIÓN DOCUMENTARIA (IRD) DESFAVORABLE",0,"LA LIBERTAD","SÁNCHEZ CARRIÓN","HUAMACHUCO",-7.8125129938,-78.045370788
"103","019","UNIVERSIDAD DE SAN MARTÍN DE PORRES","PRIVADO","LICENCIA OTORGADA",6,"LIMA","LIMA","SANTA ANITA",-12.0454981296974,-76.9676589815106
"104","127","UNIVERSIDAD NACIONAL AUTÓNOMA ALTOANDINA DE TARMA","PÚBLICO","LICENCIA OTORGADA",6,"JUNÍN","TARMA","TARMA",-11.4200165642918,-75.6892524404755
"105","119","UNIVERSIDAD PRIVADA LEONARDO DA VINCI S.A.C.","PRIVADO","LICENCIA DENEGADA",0,"LA LIBERTAD","TRUJILLO","TRUJILLO",-8.1151,-79.03194
"106","126","UNIVERSIDAD NACIONAL AUTÓNOMA DE ALTO AMAZONAS","PÚBLICO","LICENCIA OTORGADA",6,"LORETO","ALTO AMAZONAS","YURIMAGUAS",-5.8974938,-76.1287268
"107","079","UNIVERSIDAD ESAN","PRIVADO","LICENCIA OTORGADA",6,"LIMA","LIMA","SANTIAGO DE SURCO",-12.1044896914765,-76.9619649687693
"108","028","UNIVERSIDAD NACIONAL JOSÉ FAUSTINO SÁNCHEZ CARRIÓN","PÚBLICO","LICENCIA OTORGADA",6,"LIMA","HUAURA","HUACHO",-11.1220683748111,-77.6067691067459
"109","123","UNIVERSIDAD NACIONAL INTERCULTURAL FABIOLA SALAZAR LEGUÍA DE BAGUA","PÚBLICO","LICENCIA OTORGADA",6,"AMAZONAS","BAGUA","BAGUA",-5.6324299,-78.534926
"110","055","UNIVERSIDAD PRIVADA DEL NORTE S.A.C.","PRIVADO","LICENCIA OTORGADA",6,"LA LIBERTAD","TRUJILLO","TRUJILLO",-8.09986768411609,-79.0190814987766
"111","045","UNIVERSIDAD SAN PEDRO","PRIVADO","LICENCIA DENEGADA",0,"ÁNCASH","SANTA","CHIMBOTE",-9.0761070518,-78.594445099
"112","015","UNIVERSIDAD CATÓLICA DE SANTA MARÍA","PRIVADO","LICENCIA OTORGADA",6,"AREQUIPA","AREQUIPA","AREQUIPA",-16.4061786,-71.5476298
"113","116","UNIVERSIDAD SAN ANDRÉS S.A.C.","PRIVADO","LICENCIA DENEGADA",0,"LIMA","LIMA","INDEPENDENCIA",-11.990606,-77.0598606
"114","020","UNIVERSIDAD FEMENINA DEL SAGRADO CORAZÓN","PRIVADO","LICENCIA OTORGADA",6,"LIMA","LIMA","LA MOLINA",-12.0716313,-76.9650529
"115","128","UNIVERSIDAD NACIONAL AUTÓNOMA DE HUANTA","PÚBLICO","LICENCIA OTORGADA",6,"AYACUCHO","HUANTA","HUANTA",-12.9366062,-74.243975
"116","136","UNIVERSIDAD MARÍA AUXILIADORA S.A.C.","PRIVADO","LICENCIA OTORGADA",6,"LIMA","LIMA","SAN JUAN DE LURIGANCHO",-11.9783244654958,-77.0167999484621
"117","072","UNIVERSIDAD SEÑOR DE SIPÁN S.A.C.","PRIVADO","LICENCIA OTORGADA",6,"LAMBAYEQUE","CHICLAYO","PIMENTEL",-6.79500469599707,-79.8852312110451
"118","146","UNIVERSIDAD PRIVADA SISE S.A.C.","PRIVADO","LICENCIA DENEGADA",0,"LIMA","LIMA","ATE",-12.0165774,-76.8901713
"119","108","UNIVERSIDAD DE CIENCIAS Y ARTES DE AMÉRICA LATINA S.A.C.","PRIVADO","LICENCIA OTORGADA",6,"LIMA","LIMA","LA MOLINA",-12.0857224,-76.9086688
"120","010","UNIVERSIDAD NACIONAL DEL CENTRO DEL PERÚ","PÚBLICO","LICENCIA OTORGADA",6,"JUNÍN","HUANCAYO","EL TAMBO",-12.0325112515236,-75.235883607132
"121","097","ASOCIACIÓN CIVIL UNIVERSIDAD DE CIENCIAS Y HUMANIDADES","PRIVADO","LICENCIA OTORGADA",6,"LIMA","LIMA","LOS OLIVOS",-11.9615097,-77.0655921
"122","089","UNIVERSIDAD NACIONAL JOSÉ MARÍA ARGUEDAS","PÚBLICO","LICENCIA OTORGADA",6,"APURÍMAC","ANDAHUAYLAS","SAN JERÓNIMO",-13.6571898,-73.387931
"123","142","UNIVERSIDAD PRIVADA LÍDER PERUANA S.A.C.","PRIVADO","LICENCIA DENEGADA",0,"CUSCO","LA CONVENCIÓN","SANTA ANA",-12.8604607,-72.6921444
"124","135","UNIVERSIDAD PRIVADA AUTÓNOMA DEL SUR S.A.C.","PRIVADO","LICENCIA DENEGADA",0,"AREQUIPA","AREQUIPA","AREQUIPA",-16.4083213,-71.5281451
"125","138","UNIVERSIDAD NACIONAL AUTÓNOMA DE TAYACAJA DANIEL HERNÁNDEZ MORILLO","PÚBLICO","LICENCIA OTORGADA",6,"HUANCAVELICA","TAYACAJA","DANIEL HERNÁNDEZ",-12.360819242185,-74.8379755690674
"126","125","UNIVERSIDAD NACIONAL INTERCULTURAL DE QUILLABAMBA","PÚBLICO","LICENCIA OTORGADA",6,"CUSCO","LA CONVENCIÓN","SANTA ANA",-12.8568720025993,-72.6917236876968
"127","035","UNIVERSIDAD NACIONAL DE UCAYALI","PÚBLICO","LICENCIA OTORGADA",6,"UCAYALI","CORONEL PORTILLO","CALLERIA",-8.3948987,-74.5776093
"128","080","UNIVERSIDAD ANTONIO RUIZ DE MONTOYA","PRIVADO","LICENCIA OTORGADA",6,"LIMA","LIMA","PUEBLO LIBRE",-12.0701568916462,-77.0590327583359
"129","003","UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO","PÚBLICO","LICENCIA OTORGADA",8,"CUSCO","CUSCO","CUSCO",-13.52193,-71.9583208
